specobjid,plate,mjd,fiberID,ra,dec,class,subclass,z,oiii_5007_flux,oiii_5007_flux_err,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,nii_6584_reqw,nii_6584_reqw_err,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,oi_6300_flux,oi_6300_flux_err,h_alpha_reqw,h_alpha_reqw_err,neiii_3869_flux,neiii_3869_flux_err,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,psfMag_g,psfMagErr_g,psfMag_z,psfMagErr_z,nii_h_alpha,nii_h_alpha_log,oiii_h_beta,oiii_h_beta_log,sii6717_h_alpha,sii6717_h_alpha_log,sii6731_h_alpha,sii6731_h_alpha_log,oi_h_alpha,oi_h_alpha_log,BPT Kauffman,BPT Kewley,BPT final,sii_h_alpha,sii_h_alpha_log,h_alpha_reqw_log,h_alpha_reqw_abs,nii_6584_reqw_log,nii_6584_reqw_abs,WHAN label,neiii_oii,neiii_oii_log,g_z_color,g_z_color_zkcorr,g_z_color_gkcorr,TBT label,z_kcorr,g_kcorr,g_z_color_kcorr
342335995959601152,304,51609,227,214.55856,-1.0461956,GALAXY,STARBURST,0.08210701,396.0032,5.680059,465.4959,4.880722,164.6969,4.10129,44.02847,1.831664,-10.36161,0.7379858,70.47787,2.443742,44.86204,5.019064,14.34212,1.709726,-104.109,1.244892,30.97017,4.721902,306.5593,10.19312,336.2442,10.36355,19.61467,0.0234527,19.11969,0.05218546,0.09458401244780029,-1.0241822662671343,2.4044362705066096,0.381013270603378,0.15140384695117615,-0.8198630899056777,0.09637472639393817,-1.0160368418932204,0.030810411004694133,-1.5113025082432627,Star Forming,Star Forming,Star Forming,0.24777857334511433,-0.6059362519563902,,104.109,,10.36161,Star Forming,0.0481798403400106,-1.3171346435150781,0.49498000000000175,-0.03262066667304266,-0.010618756860778174,Star Forming,-0.03262066667304266,-0.010618756860778174,0.4729780901877373
342329954484119552,304,51957,205,214.55856,-1.0461956,GALAXY,STARBURST,0.08211085,381.6267,5.120824,469.4363,4.91551,156.3576,3.438245,38.9351,1.740113,-9.92749,0.7026466,69.57431,2.235879,47.53885,2.580788,13.07583,1.600646,-106.5,1.244854,39.4903,4.378767,239.2063,8.08296,287.3445,8.309752,19.61467,0.0234527,19.11969,0.05218546,0.08294011349356664,-1.0812353746918466,2.440730095626948,0.3875197562869945,0.14820820204999058,-0.8291277612252235,0.1012679462580972,-0.9945279975432596,0.02785432230102359,-1.5551074035124275,Star Forming,Star Forming,Star Forming,0.2494761483080878,-0.6029709696932822,,106.5,,9.92749,Star Forming,0.07499808185648944,-1.1249498439388987,0.49498000000000175,-0.03262366305044197,-0.010622461486627127,Star Forming,-0.03262366305044197,-0.010622461486627127,0.4729787984361869
343575420509120512,305,51613,640,217.27625,0.96418787,GALAXY,STARBURST,0.03689371,379.5113,4.463187,398.4973,3.800443,120.8576,2.400247,31.4591,1.354044,-4.706746,0.3742213,59.37442,1.818026,39.58124,2.035691,15.05,1.381261,-55.79524,0.6023442,26.21217,2.761424,157.3492,4.852163,178.9889,5.118373,19.38888,0.02093907,18.6475,0.03840774,0.07894432408952332,-1.1026790892809195,3.140152543158229,0.4969507458575215,0.14899578993383394,-0.8268260029591094,0.09932624386664603,-1.002935987550847,0.037766880729179345,-1.4228888832700894,Star Forming,Star Forming,Star Forming,0.24832203380047996,-0.6049847434602889,,55.79524,,4.706746,Star Forming,0.07793398963721326,-1.1082730905633875,0.7413799999999995,4.498507651418393e-05,0.034174588760423424,Star Forming,4.498507651418393e-05,0.034174588760423424,0.7072503963160902
343551231253309440,305,51613,552,216.55409,0.86058722,GALAXY,AGN,0.03182086,206.196,7.252104,349.4867,7.064286,88.78378,4.601058,510.868,8.353708,-7.146766,0.1363313,188.694,6.98861,152.0488,6.917368,68.87097,6.143346,-2.506705,0.1148369,48.59991,6.811588,246.9721,11.86113,173.2923,11.6554,16.95908,0.02068685,16.02195,0.01908951,1.4617666423357456,0.1648780470165466,2.3224512405306466,0.3659466048225052,0.5399175419264882,-0.26767256206734963,0.4350631941072436,-0.3614476560137566,0.19706320726940396,-0.705394453201274,AGN,AGN,AGN,0.9749807360337318,-0.011003965139309957,,2.506705,,7.146766,RG,0.1156412724941727,-0.9368871380826934,0.9371299999999998,0.005312324822121958,0.046734682122686395,AGN,0.005312324822121958,0.046734682122686395,0.8957076426994354
341263147589462016,303,51615,420,213.24683,0.92118417,GALAXY,AGN,0.05287682,2137.188,17.35021,949.9895,10.20297,253.78,5.568537,965.9279,9.197429,-27.15139,0.2933071,390.185,6.811288,340.3087,6.491217,98.91763,4.76304,-25.71439,0.2886129,226.1934,5.697469,371.6154,11.22603,417.1947,11.45007,17.84304,0.02461727,16.49834,0.02247028,1.016777448592853,0.0072259053072678435,8.421420127669636,0.9253853339705703,0.4107255922302299,-0.3864482355001627,0.35822364352448105,-0.44584575317893554,0.10412497190758424,-0.9824451027556991,AGN,AGN,AGN,0.768949235754711,-0.11410233036674157,,25.71439,,27.15139,Seyfert,0.2867526670867931,-0.5424925340345751,1.3446999999999996,0.013627291491752277,0.10649871096084494,AGN,0.013627291491752277,0.10649871096084494,1.2518285805309068
341248579060393984,303,51615,367,213.24638,1.0140953,GALAXY,STARFORMING,0.05282557,351.2427,6.827869,939.0879,9.832519,288.0829,5.602919,255.5236,4.693783,-8.759801,0.2279695,180.9975,4.550211,135.1623,4.150868,35.60215,3.263272,-29.55036,0.3650609,27.76486,5.184216,447.9157,10.60433,469.5193,10.93064,17.55097,0.0245121,17.03739,0.02368086,0.27209763857036173,-0.5652752272768814,1.2192417529815203,0.08608982668170435,0.1927375488492611,-0.7150336684817833,0.14392933824405574,-0.8418506713947332,0.03791141383037733,-1.4212300191271983,Star Forming,Star Forming,Star Forming,0.3366668870933168,-0.47279959659034715,,29.55036,,8.759801,Star Forming,0.030263571806177003,-1.5190798164261925,0.513580000000001,-0.01188810845409646,0.015152983622252968,Star Forming,-0.01188810845409646,0.015152983622252968,0.4865389079236516
340165836209678336,302,51688,524,212.11777,1.0297768,GALAXY,STARFORMING,0.1241647,72.82784,3.105251,221.5078,4.301049,56.64494,3.44942,99.65861,3.012416,-10.28628,0.3620149,26.029,2.184085,17.69027,2.340578,8.740332,1.880683,-19.68703,0.4248348,15.95158,3.095343,21.95938,4.197549,24.12058,4.284746,19.50148,0.02803065,18.01213,0.02624676,0.4499101611771685,-0.34687419822509646,1.2856901251903523,0.10913630829554677,0.11750827736088751,-0.9299315403237792,0.07986296645084281,-1.0976545622946383,0.039458348645059,-1.4038610941812786,AGN,Star Forming,Composite,0.19737124381173032,-0.7047161219987781,,19.68703,,10.28628,Seyfert,0.3461717414685256,-0.46070838713995743,1.4893500000000017,0.008678913901432446,0.23005159377546622,AGN,0.008678913901432446,0.23005159377546622,1.2679773201259679
344634525487228928,306,51637,397,217.31755,0.56537777,GALAXY,STARBURST,0.05377915,365.4705,4.493517,576.7901,4.947643,155.1169,2.831907,61.96024,1.686678,-8.196964,0.3418582,94.28525,1.973519,68.93325,1.776573,18.76712,1.405189,-74.30566,0.718107,29.16304,3.020363,209.9064,5.576371,269.6016,6.126564,19.42432,0.01877144,18.82696,0.03728839,0.1074225095056243,-0.9689047062547413,2.356097240210448,0.37219321056978977,0.16346544436182242,-0.7865740406128543,0.11951184668391499,-0.9225890428794703,0.03253717426842104,-1.4876201666087292,Star Forming,Star Forming,Star Forming,0.28297729104573743,-0.5482484152504223,,74.30566,,8.196964,Star Forming,0.06081867247261776,-1.2159630637069945,0.5973600000000019,-0.010847183701362175,0.018378733266838965,Star Forming,-0.010847183701362175,0.018378733266838965,0.5681340830318008
344630403207817216,306,51690,382,217.31755,0.56537777,GALAXY,STARBURST,0.05380891,361.3789,4.505797,564.7468,5.120656,152.5168,2.86923,65.10468,1.749858,-8.9172,0.3509216,93.20241,2.114451,63.40375,1.735469,17.99459,1.355909,-72.1584,0.7286366,23.34342,3.258947,192.0069,5.610142,225.2763,5.852668,19.42432,0.01877144,18.82696,0.03728839,0.11528118441751242,-0.9382415701594777,2.369436678451161,0.37464510697223996,0.1650339762881348,-0.7824266364198177,0.11226933910913706,-0.9497388338884494,0.03186311104374562,-1.496711822911225,Star Forming,Star Forming,Star Forming,0.2773033153972718,-0.5570449380307461,,72.1584,,8.9172,Star Forming,0.05594143258103849,-1.2522664161540968,0.5973600000000019,-0.010864297667256308,0.018359265753501844,Star Forming,-0.010864297667256308,0.018359265753501844,0.5681364365792437
343498729573083136,305,51613,361,216.14195,0.50523168,GALAXY,STARBURST,0.03168992,204.0,3.39783,502.1385,4.606375,127.9574,2.580771,76.58636,1.695965,-9.231999,0.3114185,86.66099,1.995866,60.21639,1.837578,15.4845,1.618905,-59.32979,0.6055513,15.94899,2.930237,166.8839,6.073546,192.2791,6.208309,19.28807,0.02067884,18.33256,0.03192309,0.15252039029072656,-0.8166720920628568,1.5942805965110263,0.20256476046775848,0.17258383892093515,-0.7629998748784563,0.11991988266185523,-0.9211088051041876,0.030837109681890552,-1.5109263345131168,Star Forming,Star Forming,Star Forming,0.29250372158279037,-0.5338686039319281,,59.32979,,9.231999,Star Forming,0.044405993935900966,-1.3525584047143697,0.9555100000000003,0.005703658388326786,0.0479646011597611,Star Forming,0.005703658388326786,0.0479646011597611,0.913249057228566
