        ra        dec
154.090130  -0.971407
154.637040  -0.909173
154.786140  -1.029548
154.955690  -1.022654
154.961470  -1.050257
155.147900  -0.984486
155.185380  -0.979831
155.200570  -0.985729
155.284080  -0.855294
155.373730  -1.042165
155.347710  -0.988029
155.492750  -0.954300
155.538340  -0.993641
155.573570  -0.847978
155.599980  -1.024317
155.646210  -1.043679
155.615310  -0.926160
155.733300  -0.956913
155.997680  -0.897885
156.180020  -0.880311
156.209710  -0.895265
157.615970  -0.969299
158.035070  -0.937341
158.178890  -0.852951
158.127350  -0.886419
158.213640  -0.911608
158.390530  -1.047022
158.659530  -0.852654
159.063560  -1.004867
159.629830  -0.920510
159.630390  -0.994474
159.656670  -0.948273
159.724580  -0.941633
160.144330  -0.909413
160.213610  -0.922027
160.097430  -0.936312
160.257560  -0.952428
160.494910  -0.840362
160.576670  -0.909202
160.613400  -1.029233
160.862140  -1.021631
160.899270  -0.957175
160.925500  -0.921758
161.073800  -0.892740
161.564310  -1.017807
161.635150  -0.855761
161.740880  -0.979859
161.884340  -0.944491
162.289480  -0.908547
162.547130  -1.002056
162.715880  -0.903375
162.652050  -0.923059
162.727960  -0.970882
162.776160  -0.955232
162.886990  -1.002892
162.979780  -0.893759
163.035860  -0.965405
162.944410  -0.920023
163.014220  -1.017673
163.090360  -0.843599
163.384850  -0.960167
163.581650  -0.847951
163.710600  -0.982576
164.089880  -0.888976
164.315630  -0.980558
164.361680  -0.880111
153.949910  -0.458879
154.066860  -0.495838
154.343330  -0.482124
154.478040  -0.469954
154.580580  -0.478264
154.693060  -0.457887
154.917880  -0.440208
155.280660  -0.559473
155.795750  -0.469677
155.843380  -0.510013
156.128260  -0.628821
156.327580  -0.567606
156.327910  -0.422943
156.727490  -0.541497
157.048460  -0.542371
157.083000  -0.586565
157.204840  -0.563689
157.508510  -0.622046
157.522370  -0.482836
157.751670  -0.627593
157.816390  -0.629964
157.838560  -0.596084
157.920760  -0.560467
158.069320  -0.464528
158.537820  -0.429805
158.610760  -0.571319
158.720950  -0.567882
158.842830  -0.434087
159.134340  -0.487056
159.308970  -0.629998
159.718420  -0.513531
159.803290  -0.535031
159.847510  -0.534262
160.035180  -0.600011
160.227550  -0.433231
160.248670  -0.580002
160.283640  -0.448328
