#Table1
redshift,h_beta_eqw,h_beta_flux,Column1,Column2,Column3,spectofiber,plate,mjd,fiberID
0.5993487,-11.40223,3992.194,0.2523734,2.374881,0.5993569,0.7310247,637,52174,259
0.4338264,-9.889492,1557.825,0.1564952,1.913876,0.2995124,0.7143373,2646,54479,204
0.4343848,-15.685,1279.667,0.646228,2.294816,1.482974,0.7484816,1754,53385,324
0.4583784,-11.94227,965.0396,0.3373327,2.017231,0.6804778,0.9851741,2526,54582,404
0.4596158,-14.90093,1133.808,0.2570447,2.435954,0.6261491,0.5776832,1810,53794,504
0.5083145,-10.54055,2134.027,0.3777993,2.638463,0.9968096,0.8071941,2034,53466,230
0.5324706,-10.74767,1313.903,0.4205669,3.066892,1.289833,0.7275701,411,51817,381
0.5228383,-12.69335,1333.446,0.3398808,2.737802,0.9305261,0.7363486,1224,52765,379
0.5008188,-9.304626,798.7177,0.9021373,1.903746,1.71744,0.587073,1716,53827,350
0.5113347,-16.70732,1452.441,0.6893487,2.164921,1.492386,0.776382,2347,53757,151
0.595322,-9.859278,677.1182,0.4154737,3.212858,1.334858,0.6182116,268,51633,235
0.5607508,-12.8672,625.2177,0.4668604,1.888805,0.8818083,0.6225751,795,52378,528
0.4930311,-14.06366,937.1426,0.7994121,2.459721,1.96633,0.6241774,2645,54477,133
0.4174148,-10.36639,952.4866,0.3341854,1.760133,0.5882106,1.064946,640,52178,513
0.4980763,-12.03965,557.34,0.4476209,2.396323,1.072644,0.6183035,1843,53816,584
0.4557629,-11.65119,509.9599,0.6451375,2.495043,1.609646,0.5861794,2173,53874,354
0.4219211,-5.977588,575.824,0.5175255,1.699401,0.8794833,0.6874698,939,52636,172
0.5119441,-16.54789,1848.843,0.2110908,2.879598,0.6078568,0.7413115,1694,53472,540
0.5689139,-11.62149,927.9932,1.298259,2.122388,2.755408,0.5565754,408,51821,611
0.502505,-20.61713,574.8325,0.4051845,2.428448,0.9839695,0.6442449,721,52228,454
0.4688599,-10.00354,552.9328,0.6370804,2.14832,1.368653,0.9382917,555,52266,74
0.4689836,-20.90205,1784.66,0.1869689,2.345961,0.4386216,0.784193,976,52413,574
0.4358573,-11.22126,178.4678,3.537334,1.718534,6.07903,0.2813812,2520,54584,442
0.5215923,-6.979514,673.3281,0.4139671,2.223392,0.9204111,0.7224474,2512,53877,582
0.4580766,-15.52481,1135.089,0.721276,2.022363,1.458682,0.6713165,329,52056,577
0.5896417,-12.73695,1035.502,0.5348418,2.407628,1.2877,0.8189963,644,52173,413
0.5540618,-8.894829,934.5037,0.2535838,1.556329,0.3946598,0.7553333,767,52252,300
0.5496119,-11.59554,799.0661,3.92246,1.954858,7.667851,0.7078713,465,51910,603
0.5112072,-16.15146,2766.907,0.1912216,2.323531,0.4443092,0.6654832,564,52224,471
0.4236842,-12.31159,1365.047,0.3461726,2.096536,0.7257633,0.8679659,656,52148,282
0.5841894,-6.518604,459.9291,0.7617553,1.528165,1.164088,0.7649794,1592,52990,18
0.4271503,-19.17619,2298.788,0.3084432,2.303349,0.7104521,0.6497957,856,52339,50
0.5136945,-16.58844,1483.066,0.1680855,2.215153,0.372335,0.6805698,897,52605,242
0.5702274,-3.915135,367.0603,0.4052001,1.133334,0.4592269,0.6688511,464,51908,576
0.4736708,-8.415974,961.0248,1.069571,1.792881,1.917614,0.6419378,554,52000,553
0.5659922,-7.778267,422.1902,1.199032,1.610652,1.931223,0.8605877,2425,54139,442
0.513281,-8.881385,481.7625,0.7883095,2.692936,2.122867,0.7677173,793,52370,549
0.5306148,-9.254515,1219.554,2.822379,1.46059,4.122338,0.6707187,1949,53433,472
0.5525806,-11.73849,567.0939,0.4498428,2.359785,1.061532,0.685972,607,52368,581
0.4208928,-8.85923,625.7569,3.467889,1.7627,6.112846,0.6633572,561,52295,618
0.4975437,-6.771779,651.824,0.9197367,1.317378,1.21164,0.6981413,1773,53112,301
0.4473778,-13.29521,1699.505,0.4833947,2.170741,1.049325,0.6314453,1847,54176,630
0.5256413,-6.350803,717.105,0.5879771,1.822562,1.071625,0.8295327,1844,54138,112
0.5524943,-11.35889,1318.962,0.307347,2.322718,0.7138805,0.7721471,402,51793,479
0.4389866,-17.74196,1027.594,0.3758007,2.280435,0.8569891,0.6531042,1791,54266,46
0.4614837,-10.74795,462.6565,0.5001677,2.346257,1.173522,0.6156026,498,51984,104
0.552017,-9.709053,1450.117,0.2476668,1.975753,0.4893284,0.7086252,2606,54154,614
