#Table1
redshift,h_beta_eqw,h_beta_flux,Column1,Column2,Column3,spectofiber
0.09478367,-11.29103,1421.419,0.4972242,1.955276,0.9722104,0.6183953
0.06078022,-0.2951777,22.32348,1.842473,1.608499,2.963615,0.7970763
0.08289477,-0.3888011,30.93255,1.976428,1.859734,3.67563,0.7518585
0.0597778,-0.3591314,35.91306,1.585048,1.0953,1.736103,0.7343225
0.1437301,-8.205224,2177.18,0.9069203,1.946449,1.765274,0.5938431
0.1756542,-9.266861,1434.56,0.6838572,1.749313,1.19628,0.5854257
0.121609,-8.866331,982.1518,0.3686905,1.689524,0.6229115,0.6423628
0.1743191,-17.07933,3329.567,0.7795799,2.114187,1.648178,0.5505517
0.09969537,-4.384429,568.3914,0.9054357,1.137604,1.030027,0.6751307
0.1382551,-24.13497,5197.323,0.2633382,2.237825,0.5893047,0.6946337
0.1051187,-27.60482,2409.637,0.2684556,2.136301,0.573502,0.5956572
0.05059979,-0.7466235,71.2141,0.6809488,1.51491,1.031576,0.7215794
0.060387,-21.58853,1887.681,0.7621899,2.16548,1.650507,0.7373047
0.2967729,-16.616,2577.094,0.1707854,2.185541,0.3732586,0.8081909
0.2543997,-15.03455,4576.92,1.509214,2.17102,3.276532,0.707516
0.1269882,-5.208287,942.4144,0.798463,1.668067,1.33189,1.060589
0.07323702,-0.5953308,61.31808,1.068553,1.391462,1.486851,0.7397907
0.1426254,-24.84218,3572.795,1.1999,2.510511,3.012361,0.65147
0.05897063,-18.73977,2150.045,0.4123738,1.908711,0.7871025,0.7126312
0.09159148,-8.021374,999.2677,0.84781,1.75174,1.485142,0.7424332
0.1472984,-8.637259,873.853,0.6300117,1.699741,1.070857,0.6696332
0.08377949,-7.840153,767.4379,0.7089028,1.660927,1.177436,0.4665444
0.05520906,-0.1702033,11.26082,0.7955433,1.126698,0.8963369,0.7582626
0.05564728,-0.2622188,36.36067,1.433638,4.352128,6.239376,0.7986287
0.05463336,-0.3452289,34.03604,1.519325,1.981688,3.010827,0.7812062
0.08373255,-10.21055,1447.242,0.8488361,1.598201,1.356611,0.7477328
0.1617697,-16.94715,1354.625,0.336162,2.26272,0.7606404,0.6387194
0.05337936,-0.379366,53.13551,0.5370587,3.554315,1.908875,0.7508703
0.05708254,-0.2428704,27.26945,1.896562,1.358969,2.57737,0.7884589
0.1591409,-15.53182,1350.098,1.563517,1.756025,2.745576,0.5183443
0.05456431,-0.4420483,61.39754,1.056359,0.9938819,1.049897,0.7720197
0.1965366,-18.49032,4131.215,0.2777563,2.453447,0.6814605,0.7382467
0.2610683,-14.25335,1618.641,0.2434501,2.117563,0.515521,0.7360692
0.2134592,-14.82997,1652.594,0.2488954,1.947451,0.4847117,0.9179728
0.1098744,-5.147871,1842.363,0.8757405,1.214635,1.063705,0.5890416
0.1346648,-13.14289,2292.539,0.4132285,2.033846,0.8404432,1.126168
0.204809,-16.9973,2409.323,0.3135245,2.142452,0.6717112,0.6377909
0.2527351,-12.84545,2892.682,0.4724707,2.291722,1.082772,0.81683
0.06183716,-12.15111,1786.943,0.9926052,1.898506,1.884467,0.7968717
0.1207952,-27.91396,1886.237,0.3895285,2.1046,0.8198016,0.4790259
0.06307887,-0.5260484,39.52322,1.012296,1.577513,1.59691,0.7175317
0.06201788,-0.2483293,21.97251,1.063505,0.6538392,0.6953616,0.7197074
0.1322984,-15.90344,1274.526,0.3498048,1.98563,0.6945829,0.616933
0.06347251,-0.4293922,23.01826,1.51079,1.872083,2.828324,0.7610229
0.1397043,-6.179073,553.1812,0.9377232,1.495519,1.402383,0.6102129
0.08180236,-37.89765,2499.298,0.1944637,2.303692,0.4479845,0.7048846
0.265141,-8.781984,944.1344,1.131131,1.829793,2.069736,0.663851
0.1112474,-22.56711,1109.689,0.341556,1.89412,0.6469482,0.5968231
0.1228317,-11.01267,2732.305,0.8942135,2.042021,1.826002,0.6674494
0.05919914,-0.394253,33.56794,1.305828,0.7231506,0.9443101,0.7416274
0.05126621,-11.11801,1218.343,0.9567834,1.988993,1.903035,0.7560109
0.1341881,-13.2989,1311.827,0.6722579,2.341709,1.574232,0.6998969
0.1674174,-10.45688,759.5152,0.4054109,1.633979,0.662433,0.7038012
0.06349286,-0.7344704,54.44826,1.016777,1.798387,1.828558,0.7638889
0.07809116,-22.08883,5256.383,0.7755668,1.956236,1.517192,0.9803064
0.1244479,-5.983191,808.6858,0.8165285,1.581678,1.291486,0.6848596
0.2418267,-3.992025,655.4658,0.8111939,1.257553,1.02012,0.7088223
0.153836,-13.55527,4630.266,1.166074,1.827619,2.131139,0.7834552
0.0863796,-13.28217,2033.969,0.5015432,1.797772,0.9016601,0.8127632
0.08017637,-12.63087,2925.605,0.559593,2.010858,1.125262,0.8425727
0.07390003,-19.92488,2517.656,2.542713,2.03065,5.163361,0.7174317
0.2848447,-16.67516,3167.782,0.3356205,2.088459,0.7009295,0.9212825
0.05162126,-0.4868204,60.39161,0.7881184,2.576271,2.030407,0.7268473
0.06294216,-0.3536663,22.63772,1.375658,0.5682995,0.781786,0.7550369
0.0614777,-0.5627213,44.56004,1.050813,1.178051,1.237911,0.7899736
0.06306924,-0.3297106,22.56555,1.643667,3.698817,6.079622,0.7392493
0.1601164,-25.75145,3359.375,0.1682545,2.572487,0.4328325,0.641142
0.06408318,-0.2624714,14.40732,0.6793849,0.7471476,0.5076008,0.7272877
0.05584501,-0.3823562,25.58339,0.7748675,1.931905,1.496971,0.7201522
0.0666587,-0.1499407,12.96903,2.719439,1.050226,2.856027,0.7357198
0.0664644,-0.3571355,20.85965,1.02937,1.15511,1.189035,0.6790928
0.190513,-4.141082,367.7924,0.6440513,1.016035,0.6543786,0.6379431
0.1337497,-19.79977,3727.647,0.6198953,2.155445,1.33615,0.6493987
0.06224259,-0.1961063,18.03467,2.289681,0.5148712,1.178891,0.7057618
0.06196309,-0.1329573,15.88499,0.4281641,0.7379082,0.3159458,0.7354192
0.05502648,-0.6243421,51.18768,0.6273425,1.076613,0.6754051,0.7359897
0.1600988,-5.849254,354.0004,3.885899,1.379776,5.361671,0.6570159
0.1846759,-20.72246,3112.576,0.4732547,2.381596,1.127101,0.5856941
0.08168268,-12.61329,1508.802,0.3039684,2.128531,0.6470062,0.5811608
0.06029864,-0.3151366,20.10234,1.710735,1.276382,2.183551,0.7542341
0.07723631,-17.19365,2203.247,0.880696,1.888738,1.663404,0.7245746
0.2402315,-10.43072,2368.552,1.031102,1.964605,2.025708,0.6943223
0.08162035,-0.1742419,11.72359,1.216287,1.562278,1.900179,0.7290812
0.1534853,-27.59008,5517.438,2.055553,2.154447,4.428579,0.677624
0.197447,-3.646176,773.0198,0.1252142,1.160089,0.1452596,0.7388613
0.1863378,-11.47021,1308.8,0.4702603,1.92204,0.903859,0.7295248
0.136087,-24.24099,4356.603,0.1663319,2.437711,0.4054691,0.7853101
0.1038223,-0.2289201,10.95932,1.067335,0.5972697,0.6374867,0.710286
0.06544808,-0.4400058,41.07878,0.9464631,0.8310005,0.7865114,0.7543496
0.0673677,-0.121332,4.0751,3.588143,0.2411422,0.8652527,0.7451624
0.06703619,-0.2016577,9.687269,1.758161,0.6525812,1.147343,0.7225114
0.2942613,-16.98236,2682.965,0.1359981,2.368204,0.3220712,0.8409421
0.05435418,-15.47931,2138.112,2.306458,1.81977,4.197221,0.6395815
0.2596902,-10.69686,923.6492,2.167527,1.833078,3.973245,0.8175196
0.2201104,-13.21841,832.4188,0.4174479,2.10458,0.8785526,0.7053032
0.1103326,-31.24908,7375.022,0.7790549,2.220839,1.730155,0.786967
0.0572172,-0.387391,52.07384,0.2124826,1.220691,0.2593757,0.766153
0.0551085,-9.49496,1186.639,1.599159,1.856589,2.96898,0.7201084
0.1277341,-16.60515,2236.087,0.4635237,1.779278,0.8247373,0.5460044
0.07506416,-31.01656,3829.025,1.231626,2.29719,2.829279,0.7490176
0.1918546,-6.32075,767.5447,0.4303851,1.552831,0.6683153,0.6444988
0.1188412,-21.31766,5024.298,0.2283979,2.313178,0.528325,0.8400052
0.09262062,-10.94744,1590.3,0.7112553,2.642485,1.879482,0.6412113
0.06457099,-0.3034805,33.4879,1.025134,1.279172,1.311323,0.7185585
0.09733227,-11.93944,2022.419,1.025839,2.062574,2.115869,0.6550382
0.05618459,-0.3301932,36.65266,1.341136,3.80393,5.101589,0.7285081
0.1415131,-15.2922,4447.396,0.3805769,2.229087,0.8483391,0.61257
0.05015523,-0.8075885,86.44918,0.4754554,2.312229,1.099362,0.7402169
0.1490557,-20.19644,1958.264,0.2783858,2.077073,0.5782274,0.9062897
0.2755408,-26.61959,1777.994,0.4925191,2.270702,1.118364,0.6615787
0.05502596,-23.61081,3987.076,0.3048607,2.144933,0.6539056,0.6729866
0.1347965,-4.659881,892.6796,0.7759572,1.189505,0.9230051,0.8497496
0.05046839,-0.3363576,35.00586,0.7772707,0.9010398,0.7003518,0.7434745
0.05120054,-0.5443212,43.97346,0.8745942,1.871628,1.636915,0.7273101
0.05076645,-0.4699351,50.46987,0.9649365,0.9550459,0.9215587,0.7079191
0.2055347,-10.36662,1431.322,0.5995306,1.80958,1.084898,0.6961914
0.07885244,-20.80499,8040.256,0.6073617,2.461461,1.494997,0.8858773
0.1179971,-24.48447,4723.809,0.8131903,2.092379,1.701502,0.7732249
0.05348795,-15.99699,2276.364,0.3851112,1.802085,0.694003,0.7513435
0.09574385,-4.365608,640.7239,0.4794881,1.004221,0.481512,0.7782061
0.0520518,-0.6175584,75.40821,0.5941785,1.606186,0.9543612,0.77364
0.07390932,-0.3610589,13.68435,0.9050666,2.022267,1.830286,0.7363607
0.2679094,-14.3843,2752.637,0.2147336,1.920366,0.4123669,0.6627721
0.1395377,-30.15136,3421.211,0.1661138,2.44206,0.4056597,0.7748867
0.051523,-0.4526071,37.60495,0.8842926,0.9598599,0.848797,0.7445281
0.05196881,-0.3344702,23.66694,0.6778576,0.7395718,0.5013244,0.714893
0.05207504,-0.8172466,78.65923,0.7668962,2.603033,1.996256,0.7829278
0.06355042,-11.70968,3590.22,1.093161,1.824435,1.994401,0.8435135
0.2251655,-12.56096,1074.858,0.3640934,2.067431,0.7527382,0.7641106
0.09967799,-27.72459,4169.275,3.567403,1.815665,6.47721,1.058239
0.05376228,-0.2838545,21.13997,0.5937402,1.288248,0.7648848,0.7464563
0.06415562,-0.1936383,8.779606,4.118233,0.3524551,1.451492,0.6906365
0.05249519,-0.3260559,31.11092,1.017453,1.029332,1.047297,0.7650627
0.1247753,-13.20133,2117.616,2.379307,2.309704,5.495494,0.691002
0.1444477,-8.880097,686.9014,0.6052293,1.883369,1.13987,0.5341361
0.1568366,-6.315646,1328.481,0.7648842,1.28195,0.9805437,0.7015465
0.0563294,-20.472,2322.049,1.28257,2.374651,3.045658,0.6848713
0.2306872,-16.43305,1004.002,0.4513361,2.079299,0.9384628,0.5380324
0.129768,-14.6751,1777.444,2.350794,2.034936,4.783716,0.7713156
0.05936958,-0.6262717,64.0114,0.7845697,0.9849687,0.7727766,0.7288588
0.05811804,-0.4379579,36.84772,0.8323577,1.165468,0.9700864,0.7231985
0.06168568,-0.3869972,44.48927,1.375886,1.321995,1.818914,0.7566317
0.1933094,-3.19212,523.0571,0.03917255,0.6555409,0.02567921,0.7448688
0.05014781,-22.88305,3397.969,0.8385926,2.109372,1.768904,0.8235186
0.06871108,-8.725917,1617.351,2.760107,1.636287,4.516329,0.6555319
0.1548114,-19.68156,3967.237,0.2134766,2.031401,0.4336566,0.7778305
0.1175316,-9.84405,1342.066,3.506023,1.518456,5.323744,0.7277616
0.06329135,-25.17962,2802.729,2.810742,2.034963,5.719755,0.38612
0.1027759,-22.34332,3461.101,0.7229698,2.35134,1.699948,0.5892913
0.2009477,-21.42677,3135.877,0.2598948,2.243477,0.5830679,0.7492729
0.05026987,-28.28315,1813.709,0.2666491,2.234088,0.5957174,0.7292373
0.05100756,-0.5936761,76.85601,0.9293637,1.328476,1.234638,0.7301703
0.2688896,-9.82467,1217.897,1.205106,1.957225,2.358663,1.099942
0.07212282,-0.5103016,69.04453,0.8676329,1.787755,1.551115,0.7600545
0.2349658,-9.961286,802.0439,1.671452,1.628441,2.721861,0.7345127
0.2858998,-11.2408,2536.629,0.8719287,2.085126,1.818081,0.946696
0.05186382,-0.4456516,46.99559,0.4679082,0.8134186,0.3806052,0.7363499
0.1717544,-3.91738,835.9516,0.8818145,0.9756899,0.8603775,0.5334188
0.1773402,-9.267194,2174.339,3.028183,1.61394,4.887306,0.7191465
0.2876647,-23.49095,2066.256,0.255898,2.250914,0.5760044,0.716061
0.05100999,-0.4272045,51.26057,1.151556,1.169181,1.346378,0.7949992
0.1829528,-7.393268,1984.522,1.205465,1.568551,1.890834,0.5906241
0.06449452,-21.8575,6220.282,0.6218057,2.219383,1.380025,0.5083729
0.05681,-0.6261827,51.77808,0.8090133,1.106638,0.8952849,0.7377797
0.210923,-15.90424,1450.228,0.4147691,2.267872,0.9406432,0.6414647
0.1922005,-8.170201,637.2264,0.5624879,1.607509,0.9042041,0.510913
0.1524794,-3.341009,694.1924,0.1203783,1.060523,0.127664,0.6861622
0.2407427,-4.530081,1351.735,0.7668698,1.191549,0.9137629,0.6210696
0.264278,-7.715301,2333.71,1.698867,1.686879,2.865784,0.9561765
0.05100438,-0.3664747,39.74822,0.4835957,1.837952,0.8888258,0.7098066
0.126024,-9.680372,926.9399,2.555323,1.560096,3.986547,0.6026176
0.1516362,-5.502056,503.3342,0.8140226,1.346157,1.095802,0.6843875
0.2399645,-8.113574,1138.498,0.3836562,1.798113,0.6898571,0.6432028
0.1632425,-23.87314,5054.773,0.1671373,2.464462,0.4119034,0.7864327
0.2075965,-8.412434,1538.251,0.6764649,1.717576,1.16188,0.7915263
0.1637161,-15.89823,2766.563,0.7637355,2.185774,1.669353,0.8315487
