No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
1,CGCG 186-048,176.842210,35.018756,G,18874.333571,0.062958,SLS,163,6,79,33,21,6,,1,8,9,
2,UGC 08782,208.074342,31.446250,G,13548.883303,0.045194,SPEC,383,12,191,48,32,14,3,,8,16,5
3,3C 043,22.499205,23.638966,QSO,437397.196222,1.459000,SPEC,194,7,122,19,8,,,,5,6,
4,3C 048,24.422081,33.159759,QSO,110623.417002,0.369000,SLS,799,18,259,44,16,4,,,6,16,1
5,[HB89] 0237-233,40.034060,-23.154369,QSO,666438.634134,2.223000,SLS,440,8,110,41,19,,,,4,5,
6,[HB89] 0457+024,74.966878,2.491993,QSO,714705.219872,2.384000,SPEC,160,1,58,25,12,,,,4,8,
7,3C 138,80.291192,16.639459,QSO,227542.475622,0.759000,SMU,435,9,142,32,9,1,,,6,7,
8,3C 147,85.650575,49.852009,QSO,163386.889610,0.545000,SMU,486,15,146,35,10,3,2,,7,14,1
9,FBQS J074417.4+375317,116.072720,37.888097,QSO,319430.392941,1.065505,SPEC,294,7,160,36,29,13,,,5,11,3
10,3C 191,121.199885,10.256582,QSO,590045.100277,1.968179,SPEC,270,8,125,28,18,6,,,5,5,
11,3C 216,137.389571,42.896245,QSO,200867.314452,0.670021,SPEC,461,15,214,48,35,8,,,5,13,4
12,[HB89] 1151-348,178.590780,-35.091410,QSO,77346.454164,0.258000,SMU,118,2,78,23,8,2,,,1,5,
13,SBS 1250+568,193.109790,56.572126,QSO,95953.267935,0.320066,SPEC,308,9,146,32,25,12,,,4,7,3
14,FBQS J133037.6+250910,202.657044,25.153021,QSO,316281.073169,1.055000,SPEC,353,5,173,39,20,9,,,4,13,1
15,3C 286,202.784533,30.509155,QSO,254789.412960,0.849886,SPEC,827,15,252,62,40,9,,,7,20,5
16,3C 298,214.784085,6.476335,QSO,430564.356499,1.436208,SPEC,416,9,193,68,42,12,1,,4,15,2
17,[HB89] 1442+101,221.318605,9.976687,QSO,1061469.489963,3.540681,SPEC,333,5,106,45,33,4,1,,4,5,2
