#Table1
redshift,h_beta_flux,ra,dec,plate,mjd,fiberID
0.1839849,300.9669,195.03333,3.9323809,849,52439,300
0.2527613,391.4832,217.41974,3.3571938,585,52027,214
0.2684219,410.672,219.91783,3.0912844,586,52023,89
0.1921499,199.6283,201.07607,58.819914,959,52411,192
0.1710412,153.4838,203.1581,59.51494,960,52425,321
0.2592131,67.73352,212.88279,44.333601,1467,53115,637
0.2695875,295.1519,225.72551,7.6988269,1815,53884,156
0.2568896,173.0147,220.15972,8.676428,1813,53903,471
0.2763289,155.4419,204.95997,15.991169,2607,54184,178
0.2151691,255.7214,210.14029,15.742239,2743,54259,26
0.2196604,409.3099,209.73916,16.247806,2743,54259,581
0.2413164,562.0349,215.66096,14.615268,2746,54232,150
0.2561927,373.9967,215.51932,15.179629,2746,54232,158
0.2926344,200.5956,203.63985,60.145829,785,52339,46
0.1739174,253.0201,218.73048,57.395905,790,52441,145
0.2376035,687.257,207.01705,60.525189,786,52319,150
0.2754058,421.1496,215.80913,50.92704,1045,52725,72
0.1986541,724.2312,228.43055,46.263143,1050,52721,500
0.2033559,1108.102,195.71049,11.307756,1696,53116,244
0.2870272,173.1083,212.93848,10.503241,1705,53848,133
0.279006,195.2866,223.49888,9.2620498,1713,53827,19
0.1863378,1308.8,196.78653,34.406074,2006,53476,618
0.257148,183.5643,219.83046,55.221631,1162,52668,483
0.2618298,110.1135,224.74711,53.586599,1164,52674,422
0.2814417,241.9292,224.8786,53.387968,1164,52674,480
0.2466999,128.5294,205.14716,55.825491,1322,52791,389
0.2133427,212.0715,201.32559,41.169364,1462,53112,64
0.1610482,2023.652,205.15922,40.611316,1377,53050,358
0.2654042,114.8639,209.33116,39.679259,1378,53061,158
0.1133184,1849.03,222.10458,35.996292,1383,53116,476
0.1815409,1187.199,202.71351,41.482825,1464,53091,390
0.230995,154.1145,204.48093,41.150111,1464,53091,550
0.1604147,493.3671,206.95824,40.760286,1377,53050,554
0.2707613,91.76868,206.95028,40.775742,1377,53050,514
0.2458225,52.6361,218.59573,32.67818,1841,53491,116
0.2079677,341.3671,229.36864,28.937835,1845,54144,39
0.2689301,1164.139,229.90061,28.641012,1846,54173,426
0.1936767,206.9606,225.49625,30.883521,1844,54138,446
0.2129434,203.2156,196.16958,38.601465,2018,53800,534
0.2419932,215.9268,205.27304,37.247711,2101,53858,496
0.270842,998.0123,196.23714,39.853174,2021,53475,595
0.171704,772.0214,205.6301,38.484279,2005,53472,40
0.2385001,930.851,212.81968,19.744469,2772,54529,231
0.2023347,33.50986,227.30369,53.473162,793,52370,127
0.2318723,462.8033,195.26462,6.9532612,1794,54504,190
0.2418267,655.4658,198.01962,6.6854458,1795,54507,106
0.2724296,725.9919,194.41389,8.1588068,1794,54504,331
0.178252,448.1307,189.77188,41.445637,1984,53433,609
0.2226619,98.33443,203.6345,30.278655,2110,53467,14
0.2583058,541.0374,194.53106,23.489345,2662,54505,293
0.2610683,1618.641,211.0299,21.556014,2771,54527,419
0.1883969,331.5082,192.92617,24.076479,2661,54505,197
0.2171962,479.4295,228.32586,1.1645862,312,51689,330
0.2648796,236.078,228.15441,1.4791213,540,51996,68
0.1133047,528.8362,230.52113,1.4407265,2953,54560,240
0.2935225,331.5244,204.80162,53.924281,1042,52725,499
0.2215805,526.8307,206.31885,54.157046,1042,52725,609
0.2288463,323.9026,189.67803,45.306863,1372,53062,486
0.213071,124.0855,191.8823,45.022602,1373,53063,434
0.2250107,403.0176,203.59711,43.725493,1344,52792,487
0.2742291,491.357,207.22821,43.052517,1345,52814,498
0.2489426,312.3458,215.85612,38.67578,1381,53089,326
0.284118,54.28283,199.78264,27.307793,2243,53794,585
0.2082254,504.2233,198.28565,16.356917,2604,54484,232
0.2630214,259.4819,191.2451,17.549886,2601,54144,271
0.1901163,269.8766,196.08887,17.318566,2603,54479,200
0.1927217,113.8943,199.35564,17.108689,2604,54484,598
0.2641678,195.9526,191.58713,18.356644,2601,54144,378
0.2014321,93.04583,193.08148,18.343356,2601,54144,575
0.255159,212.8707,195.22941,67.417914,495,51988,515
0.1361378,503.2493,204.86595,66.483574,497,51989,437
0.2847331,54.41901,220.11897,63.512978,2947,54533,473
0.2549202,205.4912,196.96941,60.430174,958,52410,415
0.2826634,170.9032,197.98421,60.339477,958,52410,525
0.1371693,333.0728,199.45968,60.178058,958,52410,606
0.2273587,1162.181,197.07876,3.7436684,850,52338,248
0.2534572,55.67508,207.36907,3.9848633,855,52375,251
0.2957134,245.6323,197.15658,4.5437667,850,52338,234
0.1642211,1758.235,210.40265,4.2742307,856,52339,10
0.1923565,1144.884,190.92405,9.2853199,1789,54259,190
0.1992838,243.5901,210.87303,13.845909,1704,53178,389
0.231364,266.3202,202.81516,14.980478,1774,53759,602
0.1341881,1311.827,206.77046,14.693794,1776,53858,612
0.1701931,1226.009,196.80522,-0.60045749,294,51986,194
0.1729297,320.9311,226.61018,3.1166448,589,52055,41
0.2864626,181.4231,222.21994,3.9662994,588,52045,354
0.2657104,1265.397,205.52738,5.089967,854,52373,398
0.1867498,341.4805,207.44895,4.8677953,854,52373,621
0.2413322,218.3956,213.77464,4.7628198,583,52055,497
0.2001507,254.5732,196.3773,5.6642855,849,52439,590
0.2842707,81.6624,205.0125,36.50442,2101,53858,118
0.1401217,589.8008,208.29427,35.827394,2033,53476,104
0.2848447,3167.782,208.35885,36.34707,2033,53476,512
0.2799086,223.9284,209.58208,36.067127,1838,53467,410
0.2978118,334.8038,221.35517,21.753131,2144,53770,287
0.235612,43.81033,190.05443,31.04538,2237,53828,448
0.20616,655.6048,200.24758,29.957824,2002,53471,538
0.2203435,110.4959,203.17159,30.018503,2110,53467,43
0.2500602,65.61485,196.46047,-1.3921222,339,51692,457
0.2657186,220.0962,194.88952,-1.4759518,338,51694,579
0.1742078,102.635,198.36448,-2.5424795,340,51990,174
0.1839719,65.9139,202.13576,-2.5559602,910,52377,167
0.2229706,485.5947,200.9698,-2.0171476,341,51690,600
0.2922319,31.13124,203.63852,-1.640393,912,52427,339
0.230684,143.2007,220.24096,54.972772,1162,52668,73
0.2112526,410.2334,227.75793,52.063923,1165,52703,486
0.1378198,165.0982,229.78055,52.101682,1165,52703,629
0.2585572,959.7911,212.03416,43.054602,1467,53115,48
0.2251981,141.1624,196.46464,46.089639,1459,53117,225
0.297337,103.6456,200.2535,45.684577,1461,53062,15
0.2694953,139.8595,198.11266,41.105805,1460,53138,197
0.1894373,569.4219,208.44586,35.724049,2033,53476,57
0.2463993,596.792,206.7387,36.547601,2033,53476,357
0.2361374,324.7374,231.09229,26.706561,2160,53885,444
0.264246,97.20817,219.1087,31.551731,1842,53501,291
0.06449452,6220.282,222.78651,27.157478,2142,54208,637
0.2789952,202.7542,223.38114,26.829669,2145,54212,467
0.2464555,299.1662,206.64573,31.359387,2024,53503,237
0.2318997,39.36084,206.69363,31.26575,2024,53503,225
0.2496374,322.4945,219.44949,28.505415,2137,54206,441
0.2404729,51.91676,191.34577,31.872095,1975,53734,180
0.2585477,312.2499,210.12558,0.36905672,301,51942,545
0.2081537,852.7242,224.5765,48.675964,1048,52736,589
0.1993452,1546.94,228.35794,46.902233,1050,52721,458
0.1763156,145.867,230.03427,46.270924,1050,52721,584
0.1746438,1157.279,210.20925,53.406826,1044,52468,368
0.2653963,82.51402,220.74081,44.717114,1289,52734,449
0.2384233,99.04922,208.13674,12.722587,1778,53883,283
0.2330132,381.1491,200.27492,50.776252,1667,53430,84
0.199074,67.73324,215.72281,47.547862,1673,53462,270
0.2932138,719.9677,207.08758,50.060245,1669,53433,63
0.2983111,216.2386,196.23715,13.47949,1696,53116,445
0.2664749,457.1269,193.15063,14.037225,1770,53171,58
0.2852145,1963.768,195.59635,14.102514,1771,53498,107
0.1967043,393.8115,198.89947,13.815704,1773,53112,211
0.1266571,2140.768,193.40715,21.438391,2649,54212,215
0.1605999,490.5209,215.69079,63.127557,499,51988,243
0.2755408,1777.994,220.05318,61.942517,607,52368,625
0.2965274,491.3932,222.92842,61.129961,608,52081,569
0.2001631,74.43661,218.23932,5.2316018,585,52027,607
0.2466348,244.6292,198.0921,29.629944,2009,53904,546
0.136087,4356.603,230.30941,22.462186,2158,54209,114
0.2813598,140.2599,215.96859,22.795965,2787,54552,390
0.2455795,159.3883,203.71013,1.0386142,298,51955,577
0.2963802,117.7394,221.94595,0.92169045,308,51662,523
0.1853426,384.5011,196.13765,3.2998381,524,52027,531
0.2657584,46.96118,197.36529,3.3810566,525,52295,329
0.1966696,973.7367,198.78594,43.197877,1375,53084,87
0.177022,116.7309,200.9205,42.904929,1376,53089,94
0.2375394,34.24898,215.17027,6.8498714,1826,53499,495
0.2306872,1004.002,215.44233,7.6523217,1811,53533,122
0.222684,973.6503,224.66841,19.871848,2791,54556,520
0.2697569,133.9435,221.28931,15.489814,2763,54507,244
0.2217153,1593.179,197.18278,19.07773,2617,54502,143
0.2253893,317.9666,210.90183,17.693373,2757,54509,152
0.1647449,703.1163,190.8493,5.2462198,846,52407,596
0.2401559,37.66515,190.94145,6.5752588,1790,53876,217
0.2183968,190.2026,200.64275,63.235682,603,52056,260
0.1161843,522.8646,206.5731,62.345968,604,52079,90
0.1808696,194.0835,211.61368,61.480549,606,52365,290
0.2690632,471.6942,211.24033,61.891219,605,52353,120
0.2313373,874.7607,220.51177,43.619106,1289,52734,184
0.2908029,322.3501,212.10319,54.638267,1324,53088,142
0.2409074,479.9867,230.82791,30.807213,1651,53442,373
0.2493404,67.56476,191.08318,40.860233,1985,53431,429
0.1790504,468.7558,204.10027,39.291969,2005,53472,441
0.1844595,907.2689,210.78665,37.974313,1642,53115,454
0.2620519,81.72304,219.62598,35.654482,1645,53172,618
0.1705441,1935.623,227.3075,17.952793,2792,54556,89
0.2048016,155.7982,220.06677,20.353934,2789,54555,231
0.2681316,163.4199,224.7072,19.175979,2778,54539,572
0.2461739,117.0851,203.37272,15.763897,2606,54154,44
0.2399111,307.7378,230.5157,0.19117172,312,51689,639
0.239459,141.4467,193.19358,2.1884156,522,52024,28
0.2284263,764.2011,196.07083,2.0936499,524,52027,165
0.2158184,90.17809,203.22197,2.0126902,527,52342,33
0.2424925,524.1245,200.34754,4.991854,852,52375,349
0.2517488,520.8255,228.99066,30.399208,1649,53149,208
0.2119145,765.9966,214.49271,36.128169,1644,53144,349
0.2961887,49.70665,219.21463,34.600671,1645,53172,109
0.2739726,2162.26,231.11947,30.543761,1650,53174,545
0.2483222,1012.94,224.03606,27.835764,2146,54230,204
0.1180205,1935.271,226.03529,14.523144,2751,54243,575
0.2374521,1711.321,205.30807,-0.88755139,299,51671,133
0.2230707,313.4665,206.66683,-3.0036664,913,52433,132
0.2727271,110.332,205.56739,1.9218459,529,52025,195
0.2550515,72.71386,205.96999,1.0026725,299,51671,580
0.2341849,114.511,207.11191,-0.99552881,300,51943,206
0.2606139,674.885,212.16255,63.100136,605,52353,568
0.1925539,408.8541,197.53336,63.684327,602,52072,91
0.2765597,257.3318,221.19472,59.179848,608,52081,168
0.2102813,59.42062,222.61105,58.662477,608,52081,1
0.175201,923.1448,206.40754,63.525148,604,52079,494
0.1626487,261.0046,206.56623,58.002256,1158,52668,359
0.2383302,261.4418,212.30981,56.940472,1159,52669,65
0.1492429,1043.19,214.25117,56.433031,1160,52674,171
0.2520696,403.3725,219.31303,54.878852,1162,52668,141
0.2565132,164.8087,211.99047,32.535937,2121,54180,631
0.2587776,221.7117,218.82356,18.932089,2774,54534,38
0.2955231,126.67,193.96887,-2.8938136,337,51997,30
0.1691393,208.9556,196.21654,11.133506,1696,53116,220
0.2909273,148.6421,206.62306,10.874073,1701,53142,131
0.2067854,251.4464,193.43216,12.455973,1695,53473,400
0.1263564,1036.224,206.45211,11.745431,1701,53142,200
0.2788069,360.7906,209.23984,8.0524216,1807,54175,282
0.2473611,574.8809,207.08974,38.563637,2014,53460,440
0.2570201,112.5764,220.76403,26.058299,2142,54208,292
0.2240888,131.6528,221.76198,27.629647,2142,54208,499
0.2375643,71.18325,222.87641,27.33852,2142,54208,621
0.2178915,369.7131,224.149,31.884164,1843,53816,565
0.265141,944.1344,211.74462,14.710663,2745,54231,295
0.2584745,298.6597,223.3397,12.940749,2750,54242,86
0.113312,562.6619,215.62643,29.873393,2129,54252,18
0.255357,370.9969,217.87338,29.286588,2133,53917,43
0.1996945,119.1435,219.70347,28.598913,2137,54206,533
0.2155004,156.4176,207.55104,18.216352,2755,54507,65
0.1514729,2094.599,208.64872,18.088195,2756,54508,228
0.2926029,317.0081,197.93419,20.019979,2618,54506,416
0.1854109,159.8737,201.49542,-3.5138744,910,52377,259
0.2706152,51.12079,226.84196,51.331027,1165,52703,240
0.139522,170.3694,231.14193,49.18949,1166,52751,202
0.2096944,210.3706,224.04492,52.878313,1164,52674,239
0.2667046,358.2425,206.0255,39.471531,1377,53050,206
0.1829528,1984.522,198.07396,35.255849,2016,53799,61
0.2475406,246.484,213.46526,28.36807,2126,53794,85
0.2622485,268.1367,216.5596,27.498891,2134,53876,268
0.2184688,165.1788,219.25626,26.671993,2137,54206,99
0.2252883,205.0993,213.3137,29.110495,2126,53794,496
0.292812,281.8895,214.99816,28.784195,2130,53881,427
