N,Identifier,Otype,RA,DEC,Mag B,Mag V,Mag R
27,7C 1144+3517,BLL,11 47 22.1297825184,+35 01 07.538786184,17.89,16.83,10.26
42,7C 155054.79+581551.00,QSO,15 51 58.2078070152,+58 06 44.454684204,17.03,16.73,15.60
34,ICRF J134733.3+121724,Sy2,13 47 33.36161873,+12 17 24.2398927,19.28,18.44,15.718
57,2MASX J20210438-2235183,Sy1,20 21 04.0639,-22 35 25.775,17.53,16.8,16.28
3,2MASS J01341690-4258262,Sy1,01 34 16.9072341600,-42 58 26.223391344,18.17,17.30,16.71
52,ICRF J182931.7+484446,Sy1,18 29 31.7809732968,+48 44 46.160168892,17.05,16.81,16.860
59,QSO B2134+0028,QSO,21 36 38.58632232,+00 41 54.2128562,17.30,17.08,17.02
53,QSO B1946+708,BLL,19 45 53.51966298,+70 55 48.7285673,18.726,16.70,17.199
15,3C 186,QSO,07 44 17.4720658920,+37 53 17.250697320,17.5,18.14,17.2
39,ICRF J145907.5+714019,Sy1,14 59 07.58390804,+71 40 19.8668093,17.24,16.78,17.2
12,ICRF J054236.1+495107,Sy1,05 42 36.13789710,+49 51 07.2337139,18.45,17.80,17.210
63,ICRF J231635.1+040518,Sy2,23 16 35.1933566880,+04 05 18.297101076,17.54,16.68,17.220
60,2MASX J22502534+1419519,Sy1,22 50 25.3475290512,+14 19 52.095751140,17.28,16.97,17.243
58,QSO B2126-15,QSO,21 29 12.17589329,-15 38 41.0419083,17.61,17.3,17.3
31,2E 2879,Sy1,12 52 26.3561235816,+56 34 19.573734864,18.42,18.11,17.660
43,QSO B1549-790,QSO,15 56 58.86979525,-79 14 04.2817241,18.80,18.800,17.84
56,ICRF J200755.1-443444,Sy1,20 07 55.1842447944,-44 34 44.274118260,19.3,19.3,18
24,ICRF J094336.9-081930,LIN,09 43 36.94453828,-08 19 30.8202783,19.401,18.100
23,ICRF J090933.4+425346,Sy2,09 09 33.49714902,+42 53 46.4821036,19.98,19.42,18.220
5,7C 022118.10+273638.00,Sy1,02 24 12.2865158736,+27 50 11.538285648,19.502,18,18.263
65,ICRF J235509.4+495008,BLL,23 55 09.45814429,+49 50 08.3394994,21.101,18.400
10,ICRF J052109.8+163822,Sy1,05 21 09.88596258,+16 38 22.0515459,19.37,18.84,18.480
22,3C 213.1,AGN,09 01 05.2614565176,+29 01 46.939089828,18.84,18.08,18.600
37,8C 1443+773,Sy2,14 43 14.0,+77 07 28,19,,18.730
17,3C 190,QSO,08 01 33.5525166480,+14 14 42.813906612,21.07,20.26,18.972
8,3C 93.1,BLL,03 48 46.9073426592,+33 53 15.461439576,20.723,,19.110
62,3C 455.0,Sy2,22 55 03.9,+13 13 35,19.535,19.590,19.190
29,3C 268.3,Sy1,12 06 24.70656,+64 13 36.8760,21.847,20.790,19.910
64,ICRF J234403.7+822640,Sy2,23 44 03.8302221504,+82 26 40.345410408,21.769,20.5,20.220
