#Table1
plate,mjd,fiberID,sigma_balmer,sigma_forbidden
1045,52725,72,313.062,291.7598
1050,52721,500,500,245.1475
1344,52792,91,500,282.8331
1346,52822,86,500,500
1378,53061,574,500,206.1464
1669,53433,240,292.1701,197.2778
1677,53148,88,269.6913,193.6516
301,51942,505,461.974,500
498,51984,105,500,500
1987,53765,82,500,198.1546
530,52026,575,187.335,193.2037
855,52375,250,500,191.5204
1045,52725,72,313.062,291.7598
1050,52721,500,500,245.1475
1344,52792,91,500,282.8331
1346,52822,86,500,500
1378,53061,574,500,206.1464
1669,53433,240,292.1701,197.2778
1677,53148,88,269.6913,193.6516
301,51942,505,461.974,500
498,51984,105,500,500
1987,53765,82,500,198.1546
530,52026,575,187.335,193.2037
855,52375,250,500,191.5204
789,52342,212,500,500
1042,52725,499,500,500
1042,52725,609,500,311.7454
846,52407,596,500,500
1790,53876,217,202.2496,189.9887
789,52342,212,500,500
1042,52725,499,500,500
1042,52725,609,500,311.7454
846,52407,596,500,500
1790,53876,217,202.2496,189.9887
294,51986,260,500,204.5509
298,51955,103,500,430.7045
300,51943,272,500,139.8581
308,51662,43,500,199.5593
527,52342,229,500,91.42795
536,52024,30,500,500
536,52024,308,500,203.9692
1771,53498,353,500,210.6414
1772,53089,77,500,139.2567
1708,53503,400,500,234.1628
1773,53112,333,500,469.6553
1776,53858,28,373.2835,181.3164
1778,53883,350,500,500
294,51986,260,500,204.5509
298,51955,103,500,430.7045
300,51943,272,500,139.8581
308,51662,43,500,199.5593
527,52342,229,500,91.42795
536,52024,30,500,500
536,52024,308,500,203.9692
1771,53498,353,500,210.6414
1772,53089,77,500,139.2567
1708,53503,400,500,234.1628
1773,53112,333,500,469.6553
1776,53858,28,373.2835,181.3164
1778,53883,350,500,500
1696,53116,549,500,150.2674
1700,53502,546,500,247.344
1642,53115,454,500,500
1645,53172,618,500,212.0495
1651,53442,373,500,500
1985,53431,429,277.6373,292.7949
2005,53472,441,286.5623,223.5182
1644,53144,349,500,488.825
1645,53172,109,500,199.3644
1650,53174,545,500,383.8575
2110,53467,14,500,465.417
1696,53116,549,500,150.2674
1700,53502,546,500,247.344
1642,53115,454,500,500
1645,53172,618,500,212.0495
1651,53442,373,500,500
1985,53431,429,277.6373,292.7949
2005,53472,441,286.5623,223.5182
1644,53144,349,500,488.825
1645,53172,109,500,199.3644
1650,53174,545,500,383.8575
2110,53467,14,500,465.417
311,51665,26,500,500
