        ra        dec
 34.921390  -0.255664
 34.269918   1.244198
121.104020  29.506663
120.167320  28.476501
130.607360  37.221036
131.407720  36.934653
 18.661030  -1.020660
188.144810  45.767668
179.008720   7.842644
184.282010   7.624397
185.911230   6.954086
184.357550   6.690074
183.460020   7.200901
197.881060  36.281823
120.493720  15.058754
120.748930  15.141014
121.567330  12.827991
210.355500  -0.623897
208.308820   0.447274
212.611800  -0.832380
181.158570   1.787744
181.336930   2.534271
182.046290   2.878284
185.676410   3.141817
186.743480   2.494403
187.580870   3.453561
187.066210   2.700829
188.533330   2.653063
188.670400   3.323650
189.619860   1.754345
189.521540   1.477751
119.988140  35.814312
125.469770  41.862476
132.299210  60.221198
135.493320  60.151709
176.046050  37.186464
175.408010  37.992122
157.778220  28.796670
190.370610  26.088608
190.381120  26.042664
190.095560  25.551475
115.509730  33.207845
115.383670  32.660519
115.325430  34.232176
115.139910  34.230137
124.082830  43.447637
163.114570   8.094038
168.457250   9.586292
221.931290   9.538169
221.290680   9.274660
222.177390  12.457215
124.020030  23.134019
126.637020  23.192762
126.649900  22.950906
126.006500  21.027317
125.567640  21.092562
124.794780  21.435782
125.886110  21.338096
125.922680  21.434882
126.755820  21.706779
126.774840  21.645290
226.539060  25.782781
229.246480  24.488182
120.481190  11.720343
120.087410  11.319454
120.984910   8.699592
120.488400   8.551880
120.475490   9.625861
182.231220  21.777474
186.747820  22.639583
 30.957469  14.739165
 32.104096  14.349565
 32.878224  14.300530
 32.889832  13.917156
 33.295506  14.018075
 27.308494  13.055325
 26.746457  13.125112
 26.390590  14.025961
115.163710  39.233311
254.711220  40.121161
309.458220  -6.090794
311.310820  -5.484300
313.147650  -5.711123
204.050760   4.740090
207.411620   4.238293
205.000620   4.677525
206.103680   5.125342
208.360650   5.207784
210.642530  14.552544
213.670510  13.378171
117.239530  17.577108
119.247200  18.586616
 36.527971  -0.331918
 36.272778  -0.604068
 35.385633  -0.307843
 34.748518   0.329985
 36.964337   0.501547
255.223290  27.724662
255.479040  28.417763
  4.947213   0.590795
  5.107424   0.826350
  6.704384   0.038120
  9.399220   0.280685
 13.787350  -1.046468
 14.072866  -0.369701
 13.427716  -1.085167
 13.566362  -1.239305
 13.218389  -0.074382
 12.998433  -0.486738
 12.768132  -0.134582
 12.039979  -0.912315
217.054230  61.187713
220.772120  61.310711
168.748500   3.602091
123.320630  22.648304
145.462320  12.183763
164.942830  33.391844
163.283790  33.910365
189.315420  39.483146
191.320310  27.125218
191.730880  26.564287
191.321910  27.125597
191.397310  28.761906
192.616990  27.434908
192.932440  27.962840
193.669240  28.938672
160.546060  23.746736
160.774930  20.422283
162.923960  18.480829
162.966400  22.238947
163.149010  22.934156
162.300580  22.015976
162.026760  23.954038
159.799140  -0.409491
163.028270  -0.560812
163.690990  67.238803
164.792390  67.037808
165.861670  66.669720
165.939950  66.453143
166.683100  66.852697
170.051550  67.241586
171.113310  66.980725
172.913930  67.241740
176.162690  67.955888
181.948430  67.383789
188.006390  66.332603
320.453510  10.656079
122.822930  29.508921
127.374990  31.675464
198.652490  54.798239
223.695750  40.784841
222.912040  40.599183
175.244820  11.471141
197.989480  34.365259
135.998820  21.906569
136.501230  18.764570
137.048080  21.999439
 24.000636   0.663535
 28.671009  -0.143325
227.444750  57.000146
180.595670   4.329816
184.533720   6.139539
 48.705318  41.993608
 49.430050  42.385102
 50.332962  41.931861
223.515580  30.846249
125.875220  18.749433
126.877700  19.366657
129.540130  19.725673
175.058090  24.697065
175.043390  25.309597
174.817480  20.427644
174.908110  20.454691
175.998230  19.778955
176.266180  19.973681
174.984630  16.955010
206.938590  16.973132
208.053830  16.519877
208.629890  15.044141
211.819990  15.166572
  3.025396  -0.415210
169.388720  51.271592
172.156120  50.827424
144.643560   8.887900
144.580410   9.445990
143.511590  10.108707
144.532890   9.523921
148.706520   9.271095
218.673950  47.937794
169.976090  33.090107
205.804800  36.749312
205.534930  35.654302
201.538100  35.934427
201.084040  36.596087
201.214360  36.378540
242.733990  13.751860
243.513710  14.282110
245.509080   9.888631
 53.573957  -6.264998
 54.389098  -6.520457
 55.667104  -6.381836
 61.561342  -5.651901
 61.632965  -6.668121
134.078020  -0.441500
132.167560   1.038793
133.289810   2.246421
  5.114624   0.833556
126.946200  39.547080
128.949050  39.902148
128.085160  41.358910
128.848830  42.152677
128.378200  41.525447
135.150320  46.686491
311.793790   0.363280
171.882740  56.877023
172.514900  57.308173
178.640330  58.367037
182.438630  56.523598
180.329480  56.570196
141.447210  11.424577
149.386910  33.619730
151.021880  31.185459
237.445590  12.399336
237.985970  10.674738
237.052660  11.279517
237.872220  11.865249
238.346570  11.959181
238.578810  12.125754
238.946560  11.625541
239.377870  15.956055
240.149010  15.685631
220.234820  -0.318170
221.546370  -0.222966
222.847580   0.007093
126.520000  45.968710
134.153910  51.920371
136.796260  50.712758
136.370210  51.413589
134.100970  51.879737
134.544990  52.182833
134.655450  51.878488
135.867760  51.983503
198.896030  62.124640
208.539000  60.678055
212.619830  59.259706
210.190520  59.328281
215.654480  59.930911
183.540570  54.525971
179.117190  55.125236
234.660420  36.958355
179.717500  42.722419
182.308790  47.058364
180.711160  48.636205
193.461770   9.709661
192.869270   9.922709
193.761910   8.065550
176.336640  32.722250
152.666360  20.070179
 36.617888   1.160503
 36.505206   1.018089
 37.086905   0.687233
251.753180  39.061343
250.846420  39.806447
137.915600  46.639743
140.622880  47.262443
141.981480  48.081990
140.980550  49.504457
142.778180  49.079751
142.555520  49.488300
 50.245430  -0.367660
154.492430  37.181574
153.371190  38.619842
153.496630  38.657206
153.688880  38.980999
156.430390  39.646380
161.015350  43.903369
159.655180  44.523094
158.671620  44.625353
159.027360  44.033580
158.785790  45.084639
159.526680  44.844677
201.214190  13.737851
206.706050  14.400467
209.014180  13.505841
208.034830  14.116232
181.819560  32.075601
201.713650  26.591242
205.933970  25.392148
189.624720  19.989267
156.752320  17.816761
167.232400   0.444804
169.649240   0.419767
170.200040   0.468606
215.992570  65.216746
150.987140   1.512362
149.951200   1.095126
150.529330   3.057686
151.512980   3.109799
133.692930  39.538826
136.404920  41.092279
136.200280  40.591710
135.758920  40.433984
196.466470  41.721908
175.415560  15.965716
145.341410  28.114477
