#Table1
specobjid,plate,mjd,fiberID,subclass,z,oiii_5007_flux,oiii_5007_flux_err,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,nii_6584_flux,nii_6584_flux_err,w1,w2,w3
1005512498008320000,893,52589,305,STARBURST,0.03850071,1086.957,13.44569,5999.017,42.02035,1582.364,15.04655,3010.845,20.69637,12.089,11.908,7.834
2165278474745440256,1923,53319,629,STARBURST,0.01645661,375.864,5.281759,2068.504,13.64887,575.6002,5.900801,593.111,5.842029,12.812,12.661,8.762
2908305081193490432,2583,54095,384,STARBURST,0.05198691,6372.962,38.29589,6812.091,41.0007,2008.347,13.51029,741.5893,5.987211,13.591,13.268,9.258
837747358904117248,744,52251,283,BROADLINE,0.02276372,154.5978,10.75241,198.6793,14.25082,68.47856,9.791917,162.8001,12.67237,11.233,11.288,10.554
2837441290109478912,2520,54584,631,BROADLINE,0.03488255,78.40385,3.9727,117.0103,4.839863,34.39631,3.565499,206.4456,5.043667,11.898,11.943,10.131
1853365720646182912,1646,53498,489,BROADLINE,0.005471957,73.53744,11.83241,388.5344,13.86732,49.76458,6.844825,706.5307,23.96221,10.429,10.411,7.811
603488156460804096,536,52024,21,,0.005746124,180.5671,8.802274,393.9262,10.51064,115.1399,6.60717,248.0086,10.44699,11.078,11.154,10.107
335536072102537216,298,51955,65,BROADLINE,0.01239225,111.1376,7.04607,161.0728,8.028925,58.32586,5.689563,128.6146,8.097485,11.063,11.179,10.38
2937636209523976192,2609,54476,594,STARFORMING,0.008001816,226.744,4.260685,546.0482,6.647951,164.6069,4.607106,110.3457,2.820935,12.885,12.839,9.773
1793675699769337856,1593,52991,426,BROADLINE,0.02303885,51.85497,5.486883,125.0323,6.537817,36.20171,4.301114,104.0426,7.184777,11.673,11.751,10.016
2578451861564581888,2290,53727,513,STARFORMING BROADLINE,0.02861802,39.0416,6.265159,413.1414,11.34929,112.2152,6.516237,212.8029,10.33329,11.595,11.629,9.468
972950181760755712,864,52320,628,STARFORMING BROADLINE,0.01307724,110.7001,10.10508,756.8812,15.66252,209.3927,8.333631,668.6763,17.19947,10.846,10.78,7.186
488769783811041280,434,51885,470,BROADLINE,0.03072134,50.62443,3.85932,132.2149,4.919664,37.42976,3.364293,116.9346,4.991438,11.786,11.865,10.222
1874774302792902656,1665,52976,549,BROADLINE,0.01902402,40.61372,3.279153,62.98951,3.671225,21.04591,3.001461,62.81833,3.640547,11.788,11.846,10.846
749996158813759488,666,52149,534,,0.04123919,50.12107,3.528708,113.4494,4.77323,39.82523,3.555642,132.9302,4.405072,11.822,11.835,10.372
