tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58258.185289400164,"504185284215015006",1,504185284215,20.7413,1,504,0.354751,18.3801,16.302639,"",18.33,"",0.046007,100,0.006789526,0.0608,"",186.4536272,33.5468165,0.626667,"","",18.334,0.0737,"",false,true,false,"","bulk_1.0.0",0,526200864215015040
"ztf",58270.174652799964,"516174654215010001",2,516174654215,20.47096,-1,516,0.3530359,19.162529,16.263706,"",19.2075,"",0.102947064,100,0.0071299244,0.1531,"",186.453662,33.5469623,0.81666666,"",0,19.2645,0.1984,672120242,false,true,false,"","bulk_1.0.0",0,526200864215015040
"ztf",58274.19937499985,"520199374215015012",2,520199374215,20.655275,1,520,0.236141,18.373432,16.054491,"",18.4143,"",0.049356006,100,0.0058312714,0.0709,"",186.4535721,33.5468268,0.78,"",0,18.3652,0.0823,672120242,false,true,false,"","bulk_1.0.0",0,526200864215015040
"ztf",58274.22225689981,"520222254215015004",1,520222254215,20.985851,1,520,0.3444054,18.199097,16.273954,"",18.269,"",0.03708649,100,0.006297362,0.0512,"",186.4535827,33.5468037,0.71666664,"",0,18.2712,0.0611,672120142,false,true,false,"","bulk_1.0.0",0,526200864215015040
"ztf",58280.20086809993,"526200864215015024",2,526200864215,20.486,1,526,0.08218444,18.181093,16.02991,"",18.1888,"",0.0432775,100,0.0059674466,0.0604,"",186.4535499,33.5468817,0.78333336,"",0,18.138,0.0703,672120242,false,true,false,"","bulk_1.0.0",0,544178744215015000
"ztf",58280.2263656999,"526226364215015009",1,526226364215,20.91871,1,526,0.43711624,18.466656,16.314987,"",18.5585,"",0.04718921,100,0.006503918,0.069,"",186.4537,33.5468491,0.8,"",0,18.5999,0.0861,672120142,false,true,false,"","bulk_1.0.0",0,544178744215015000
"ztf",58283.200069400016,"529200064215015023",2,529200064215,20.585648,1,529,0.1915771,18.644753,16.083231,"",18.6468,"",0.06482256,100,0.0061251656,0.0921,"",186.4535852,33.5469463,0.75333333,"",0,18.5832,0.1062,672120242,false,true,false,"","bulk_1.0.0",0,544178744215015000
"ztf",58283.238298600074,"529238294215015006",1,529238294215,20.724653,1,529,0.2363744,18.42853,16.309652,"",18.3889,"",0.047223084,100,0.0067081554,0.0626,"",186.4536354,33.5468712,0.76,"",0,18.3434,0.0726,672120142,false,true,false,"","bulk_1.0.0",0,544178744215015000
"ztf",58286.22211810015,"532222114215015011",1,532222114215,20.754644,1,532,0.43835256,19.152601,16.387438,"",19.2724,"",0.08950668,100,0.007011159,0.1314,"",186.4536972,33.5468549,0.8466667,"",0,19.2643,0.1576,672120142,false,true,false,"","bulk_1.0.0",0,544178744215015000
"ztf",58286.2832986,"532283294215015028",2,532283294215,20.292208,1,532,0.30482593,18.819513,16.098593,"",18.7377,"",0.08024801,100,0.006547357,0.1036,"",186.4534723,33.5469026,0.8433333,"",0,18.6717,0.1196,672120242,false,true,false,"","bulk_1.0.0",0,544178744215015000
