tid,mjd,fid,diffmaglim
"ztf",58214.245254599955,2,18.7446
"ztf",58217.23670140002,2,20.6081
"ztf",58217.30769680021,2,20.6905
"ztf",58221.26018519979,2,19.6298
"ztf",58224.26008100016,2,20.0448
"ztf",58224.32604169985,2,19.0821
"ztf",58227.26770830015,2,20.0156
"ztf",58230.23432870023,2,18.7249
"ztf",58233.20512730023,2,20.0856
"ztf",58242.25814810023,2,20.6233
"ztf",58245.19193289988,2,19.9874
"ztf",58248.25592589984,2,20.4356
"ztf",58255.24068289995,2,20.6102
"ztf",58258.2115162001,2,20.5149
"ztf",58262.26910880022,1,19.7826
"ztf",58267.18469909998,1,19.2764
"ztf",58267.290636599995,2,19.5915
"ztf",58277.22072920017,1,20.7077
"ztf",58277.2624884001,2,20.5472
"ztf",58289.17679399997,1,20.1571
"ztf",58292.228159700055,1,19.8968
"ztf",58292.23618059978,2,20.0657
"ztf",58295.240891200025,2,19.916
"ztf",58298.25895830011,2,19.5399
"ztf",58301.177465300076,2,20.1434
"ztf",58301.257708299905,1,19.6165
"ztf",58304.18061339995,2,20.3983
"ztf",58304.196064800024,1,20.5206
"ztf",58427.53708329983,1,20.3474
"ztf",58440.48513890011,1,20.2544
"ztf",58440.54778939998,2,20.3343
"ztf",58443.47575230012,2,19.7299
"ztf",58447.49188659992,2,19.4755
"ztf",58450.51553239999,1,19.8756
"ztf",58467.49016200006,1,19.7057
"ztf",58467.55018519983,2,20.7151
"ztf",58476.52539349999,2,20.0705
"ztf",58491.54167820001,2,20.4269
"ztf",58494.50925929984,1,21.1319
"ztf",58502.49202550016,1,19.4064
"ztf",58502.548819399904,2,20.0017
"ztf",58505.466886600014,1,19.2058
"ztf",58514.42420140002,2,19.4073
"ztf",58522.48361109989,1,20.7127
"ztf",58526.45910880016,1,20.3034
"ztf",58526.49027779978,2,19.6738
"ztf",58534.396863400005,2,18.7677
"ztf",58538.29899309995,1,18.8991
"ztf",58538.35951389978,2,18.9601
"ztf",58540.270868100226,2,20.324
"ztf",58540.387858800124,1,20.6296
"ztf",58543.34094909998,2,20.1295
"ztf",58543.382916700095,1,18.4084
"ztf",58558.21347220009,2,19.5362
"ztf",58572.29927079985,2,19.8961
"ztf",58572.3545022998,1,20.3775
"ztf",58574.227557899896,2,17.7528
"ztf",58575.36809029989,2,18.7711
"ztf",58582.20578699978,2,20.4704
"ztf",58585.22797450004,1,20.3306
"ztf",58586.247534700204,2,20.3214
"ztf",58586.26070600003,1,20.1962
"ztf",58587.224490699824,1,19.9989
"ztf",58588.208171300124,1,17.4337
"ztf",58589.15210650023,1,18.4096
"ztf",58589.21870370023,2,16.7685
"ztf",58592.33361109998,2,16.2046
"ztf",58606.23797449982,2,20.6541
"ztf",58606.39570599981,1,20.7741
"ztf",58612.25687499996,1,20.916
"ztf",58616.155173600186,2,19.7595
"ztf",58618.21609950019,2,19.7602
"ztf",58619.16497689998,2,16.5013
"ztf",58619.23443289986,1,18.8688
"ztf",58628.19590280019,1,20.7468
"ztf",58632.178738399874,2,20.4987
"ztf",58638.203923599795,1,20.7761
"ztf",58650.247800900135,2,19.8206
"ztf",58653.25715279998,1,19.4272
"ztf",58658.18271989981,2,20.5685
"ztf",58658.20391200017,1,20.7247
"ztf",58786.52688660007,1,18.3374
"ztf",58799.489756899886,2,19.1828
"ztf",58802.551631900016,1,19.448
"ztf",58805.52556709992,1,19.576
"ztf",58823.52079859981,1,17.6747
"ztf",58833.49555560015,2,19.4226
"ztf",58833.571678199805,1,18.9188
"ztf",58838.49631940015,1,19.3224
"ztf",58838.553368099965,2,18.6887
"ztf",58859.47929400019,2,19.7032
"ztf",58866.547870399896,1,20.3264
"ztf",58887.51265050005,2,19.7162
"ztf",58898.384664400015,1,21.0371
"ztf",58908.31909719994,1,20.5698
"ztf",58914.39342590002,2,20.1542
"ztf",58914.42890049983,1,19.712
"ztf",58915.39315970009,2,19.8785
"ztf",58936.28561339993,1,20.7851
"ztf",58936.40293980017,2,20.5477
"ztf",58968.24918980012,1,20.7129
"ztf",58974.20513889985,1,19.5022
"ztf",58974.262326399796,2,19.7643
"ztf",58977.17466440005,1,18.5495
"ztf",58980.25552080013,2,20.8473
"ztf",58994.23393520014,1,20.8544
"ztf",58997.16547450004,1,20.265
"ztf",58997.167384299915,1,20.2762
"ztf",58997.24856479978,2,20.5996
"ztf",59026.218645799905,1,19.6019
"ztf",59163.48557869997,1,19.7612
"ztf",59163.52572919987,2,20.1418
"ztf",59168.51291669998,1,20.3068
"ztf",59168.534895800054,2,20.2969
"ztf",59170.4934605998,1,20.302
"ztf",59176.507141199894,1,20.2558
"ztf",59176.55969909998,2,19.7206
"ztf",59179.53130789986,2,20.428
"ztf",59182.495532399975,2,19.5048
"ztf",59182.5589815001,1,19.758
"ztf",59185.505370399915,1,19.6661
"ztf",59185.535161999986,2,19.9402
"ztf",59187.49543979997,2,19.1981
"ztf",59187.53583330009,1,19.5098
"ztf",59189.47515049996,2,19.8628
"ztf",59189.511701399926,1,19.753
"ztf",59192.5121065001,2,16.9947
"ztf",59192.54780089995,1,19.9488
"ztf",59200.46953700017,1,19.4528
"ztf",59203.53040509997,1,20.2998
"ztf",59206.53965280019,1,18.6014
"ztf",59215.48893520003,1,19.3003
"ztf",59217.39105319977,2,19.6687
"ztf",59217.442812500056,1,19.6724
"ztf",59221.45276620006,2,19.763
"ztf",59221.47055559978,1,19.549
"ztf",59223.405300899874,1,20.2526
"ztf",59223.4722684999,2,20.1677
"ztf",59225.4678588002,1,20.1597
"ztf",59225.50958329998,2,18.7534
"ztf",59227.38224539999,2,20.3361
"ztf",59227.466527800076,1,20.6346
"ztf",59229.509664400015,2,19.6259
"ztf",59254.42702550022,2,19.722
"ztf",59254.45753470017,1,20.3615
"ztf",59258.3817592999,1,20.3251
"ztf",59262.363611099776,2,20.4469
"ztf",59268.48848380009,1,20.5619
"ztf",59311.30093749985,2,20.368
"ztf",59335.25814810023,1,20.4939
"ztf",59335.31056710007,2,19.5116
"ztf",59359.260277799796,1,19.5126
"ztf",59370.22385419998,1,20.7056
"ztf",59372.20365739986,1,19.319
"ztf",59379.194791700225,1,20.6747
"ztf",59381.28238430014,1,18.5449
"ztf",59383.240324100014,1,19.2199
"ztf",59623.31863430003,1,19.7804
"ztf",59623.373981500044,2,20.1371
"ztf",59625.237094900105,1,18.7617
"ztf",59671.37262730021,2,20.8171
"ztf",59671.42003470007,1,20.9251
"ztf",59674.37935189996,1,20.67
"ztf",59674.458738400135,2,20.0265
"ztf",59676.359826399945,2,19.9462
"ztf",59678.343229200225,1,20.4985
"ztf",59678.382060199976,2,20.4994
"ztf",59684.31019680016,1,19.3467
"ztf",59684.342395800166,2,19.5375
